msoa_zone_id,2018,2033,2035,2050
E02000001,9681.402660152002,13313.180003608006,13803.049641136002,17186.91140954398
E02000002,7210.143747768003,8741.549938667991,8928.641140395997,9881.263832603992
E02000003,10864.300495752,13064.19517398001,13322.24346473999,14642.236110779995
E02000004,6630.770238804001,8044.378913104,8217.436633688005,9026.464822036001
E02000005,9193.127386440003,10980.715969800007,11181.19197628,12265.698666179991
E02000007,9338.037073295996,11197.20635506,11415.983452660004,12600.571202319994
E02000008,12403.876152615994,14932.384775675993,15229.020170892001,16821.145366096003
E02000009,8904.013562768001,10648.89533327999,10846.735937999994,11945.235186408
E02000010,9229.068910719994,11023.094915104002,11226.425809247994,12348.638171288007
E02000011,6629.288583596001,7987.882090180002,8148.899543379998,8938.648368772005
E02000012,10474.135169531997,12325.488180359998,12541.030122959999,13603.296351836
E02000013,8915.9495708,10611.048839536003,10799.518223952002,11853.684109512003
E02000014,10069.934296255999,12042.841570971996,12269.219991883998,13486.553366336007
E02000015,8015.828097156006,9670.292243111999,9864.780712304004,10958.430835156001
E02000016,7848.161519919998,9235.372142008,9381.246526736,10353.290198840008
E02000017,8858.787328995995,10357.385690119994,10526.529452399993,11425.74949418
E02000018,9453.866527600007,11228.908938396002,11425.581460771993,12546.138116231996
E02000019,8949.076672684001,10592.493736748003,10773.023348355999,11774.305067352001
E02000020,9792.977432311996,11659.681239059999,11871.03503426,13048.441057284002
E02000021,8485.062211064,10126.967086703995,10314.301948567994,11317.413509188
E02000022,9189.282833507998,10719.899881216006,10875.106184632,11930.62558726
E02000023,6836.078633416006,8034.016555736004,8162.610994152002,8960.836641472
E02000024,11236.24725391599,13312.771213256001,13551.955079792,14766.521188832005
E02000025,8780.285609172002,10444.782333640007,10637.572164360003,11695.049149491997
E02000026,6981.147109048,8212.773786200001,8354.095362680002,9086.210065536006
E02000027,10460.715673340002,12219.094242443998,12419.881725027994,13525.895827127999
E02000028,6793.049480415995,7996.873360636002,8135.012442452002,8877.005424899993
E02000029,9426.054479200006,11030.962648260009,11209.975411819996,12241.921787907999
E02000030,9996.599429499993,11816.370799276001,12028.195137251998,13047.23197486801
E02000031,7895.315155263999,9327.89061310799,9494.716573875996,10335.707535760004
E02000032,8677.839794172003,10097.635718968002,10258.416511216003,11060.201312348001
E02000033,9389.19042152401,10933.647087159996,11106.580315720003,12074.494005467997
E02000034,9279.326177611994,10888.286602787997,11071.632977236,12084.047706583991
E02000035,7783.599112384004,9418.493771508005,9611.932726676003,10652.331064567994
E02000036,11699.373851379998,13534.611369288008,13739.899511296,14882.617644235997
E02000037,10576.767535991994,12240.861971647999,12426.708609856,13421.88964622801
E02000038,11503.357482624007,13340.081028796001,13545.964722972,14713.834206356001
E02000039,7394.045611112003,8588.630475716007,8720.846854492005,9436.864108063995
E02000040,7800.935086620002,9040.773107735999,9180.663530712,9942.917620296002
E02000041,7382.517506756002,8992.190131379995,9175.435301500002,10191.543637096005
E02000042,11141.559226963993,13156.887980876001,13390.878443412006,14711.886707480011
E02000043,8475.769019327998,9774.226429508006,9913.716574036,10691.801044432003
E02000044,8665.651706287998,9899.62566436,10031.744621480004,10868.672465788
E02000045,11116.033559000001,12831.0562816,13018.48238316001,14223.479579924
E02000046,7682.740245955998,8935.898995244006,9079.265959787996,9924.111886755993
E02000047,11951.557939712002,13634.413262199989,13820.634280439994,14996.611632904003
E02000048,10721.047940920009,12448.474441935992,12641.769383592004,13723.339743500008
E02000049,8938.274061484002,10074.818892160014,10195.629366480001,11053.589927956007
E02000050,10865.538114463989,12560.420096064008,12749.798607048002,13877.821042863996
E02000051,9430.9603578,11162.329347319996,11367.264177080002,12409.258304720002
E02000052,10516.308074168002,12284.833625768,12486.831913775992,13726.521656395995
E02000053,9096.095052044013,10370.876925944001,10519.273212128002,11423.912926304
E02000054,7754.021647219997,8937.238306240002,9072.668288080005,9854.917247772
E02000055,11659.711046363997,13510.895370524007,13733.306136347997,14948.577515759995
E02000056,10016.47732623199,11671.484546000003,11857.488991240007,12835.102835352009
E02000057,7911.374415556,8955.316551727998,9072.904789536004,9765.71566588
E02000058,11057.006387840003,12872.087664563998,13081.151883348004,14232.100841524001
E02000059,11149.526730508005,12860.531608540006,13055.10850778,14215.709091120016
E02000060,11388.994821611997,12792.098391420004,12951.266943899993,13871.120429795998
E02000061,8558.635502144007,10024.52696048799,10198.242506376006,11129.633379871997
E02000062,6655.730273952002,7620.709792947993,7730.988992956001,8413.244970240006
E02000063,7399.293618788006,8470.452669859997,8589.402155099997,9305.375680751993
E02000064,6567.936580872,7624.021624248004,7747.340426375999,8470.992782052
E02000065,7679.733743815998,7911.063368344,7915.428232087998,8103.818178247997
E02000066,9631.326847663999,10071.505930336001,10114.753378191994,10505.834738904
E02000067,8881.266215944002,9307.321223691997,9348.734144163998,9717.597778168001
E02000068,7446.972945852004,7786.705025420005,7817.170614140002,8119.217106352
E02000069,6193.408955960003,6560.946936599998,6607.40182792,6892.760263852001
E02000070,8038.890146359992,8555.02617102001,8625.494739539992,8996.909615940001
E02000071,7533.941898248007,7895.846950776,7938.394994752003,8199.400243012005
E02000072,11750.692807419993,12315.819317459996,12361.016896980003,12825.091015831997
E02000073,11058.059381863997,11662.898094188,11734.201736315998,12114.024997175995
E02000074,7203.584652435993,7683.520314964006,7739.848876228,8140.036273044006
E02000075,8195.068903984009,8739.380230068004,8816.069624956002,9185.646467372006
E02000077,8043.036982879993,8444.616662779994,8490.025576539996,8753.322708067997
E02000078,7939.688370260004,8379.321637127996,8431.901759736003,8735.836904284002
